Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
agricola-opt18-strips-p01,0,False,60,523,1010,1631,98,1882,3467,0,0,,,,0,,,142.0,142,142,0.1211,0.0988,0.0023,0.0038,0.0,0.0,,0.1106,0.3402
agricola-opt18-strips-p02,0,False,63,612,1177,1890,101,2116,4128,0,0,,,,0,,,142.0,142,142,0.1875,0.2589,0.003,0.0044,0.0,0.0,,0.1303,0.5906
agricola-opt18-strips-p03,0,False,66,723,1373,2200,104,2434,4886,0,0,,,,3119,,,204.0,262,204,0.3658,0.3846,0.0035,0.009,0.0,0.0,,4.4026,5.1766
agricola-opt18-strips-p04,0,False,67,592,1146,1847,109,2096,3933,0,0,,,,0,,,146.0,146,146,0.1681,0.1583,0.003,0.0066,0.0,0.0,,0.1212,0.4618
agricola-opt18-strips-p05,0,False,69,728,1401,2241,112,2466,4894,0,0,,,,3970,,,208.0,266,208,0.2467,0.2698,0.0048,0.0044,0.0,0.0,,14.3422,14.8725
agricola-opt18-strips-p06,0,False,72,796,1523,2434,115,2648,5412,0,0,,,,15,,,206.0,206,206,0.3571,0.5708,0.0045,0.0043,0.0,0.0,,1.1619,2.1121
agricola-opt18-strips-p07,0,False,74,697,1347,2166,122,2443,4624,0,0,,,,1814,,,212.0,270,212,0.1834,0.2043,0.0043,0.0068,0.0,0.0,,3.4728,3.8772
agricola-opt18-strips-p08,0,False,78,799,1567,2491,125,2737,5493,0,0,,,,0,,,150.0,150,150,0.3549,0.3478,0.0046,0.0062,0.0,0.0,,0.1637,0.8883
agricola-opt18-strips-p09,0,False,80,895,1747,2770,128,3009,6201,0,0,,,,0,,,150.0,150,150,0.4653,0.6372,0.0056,0.0066,0.0,0.0,,0.1728,1.3049
agricola-opt18-strips-p10,0,False,77,754,1483,2367,130,2652,5053,0,0,,,,0,,,154.0,154,154,3.7866,0.2344,0.0058,0.0047,0.0,0.0,,0.1433,4.1817
agricola-opt18-strips-p11,0,False,80,911,1773,2817,133,3047,6193,0,0,,,,4538,,,216.0,274,216,0.3226,0.3915,0.0082,0.005,0.0,0.0,,22.3213,23.0608
agricola-opt18-strips-p12,0,False,84,1002,1962,3100,136,3339,6938,0,0,,,,23,,,214.0,214,214,0.5631,0.8522,0.0084,0.0068,0.0,0.0,,1.645,3.0943
agricola-opt18-strips-p13,0,False,81,852,1670,2660,138,2959,5695,0,0,,,,7018,,,220.0,278,220,0.2351,0.2569,0.0075,0.0107,0.0,0.0,,21.7301,22.248
agricola-opt18-strips-p14,0,False,84,978,1945,3064,141,3334,6810,0,0,,,,0,,,158.0,158,158,0.3612,0.4714,0.0072,0.0128,0.0,0.0,,0.2206,1.0871
agricola-opt18-strips-p15,0,False,87,1081,2133,3358,144,3596,7563,0,0,,,,0,,,158.0,158,158,0.5565,0.9202,0.009,0.0069,0.0,0.0,,0.218,1.7312
agricola-opt18-strips-p16,0,False,83,909,1796,2851,146,3173,6155,0,0,,,,15,,,222.0,222,222,0.2633,0.2944,0.0072,0.0087,0.0,0.0,,1.0289,1.6111
agricola-opt18-strips-p17,0,False,86,1065,2118,3332,149,3592,7387,0,0,,,,0,,,162.0,162,162,0.4041,0.505,0.0116,0.0085,0.0,0.0,,0.1887,1.1328
agricola-opt18-strips-p18,0,False,89,1197,2377,3726,152,4001,8436,0,0,,,,23,,,222.0,222,222,0.5934,1.0568,0.0111,0.0067,0.0,0.0,,2.2921,3.9824
agricola-opt18-strips-p19,0,False,86,992,1982,3128,154,3489,6752,0,0,,,,0,,,226.0,226,226,0.3287,0.3405,0.0106,0.0081,0.0,0.0,,0.981,1.6786
agricola-opt18-strips-p20,0,False,89,1152,2310,3619,157,3907,8047,0,0,,,,0,,,166.0,166,166,0.4919,0.6239,0.0088,0.0079,0.0,0.0,,0.2197,1.3697
agricola-sat18-strips-p01,0,False,84,1459,2877,4458,122,4561,10685,0,0,,,,0,,,382.0,382,382,2.2911,8.782,0.0087,0.0134,0.0,0.0,,0.2529,11.3974
agricola-sat18-strips-p02,0,False,91,1731,3406,5270,133,5200,12710,0,0,,,,0,,,386.0,386,386,1.566,6.8811,0.0126,0.0125,0.0,0.0,,0.3295,8.8624
agricola-sat18-strips-p03,0,False,98,1852,3672,5670,146,5635,13616,0,0,,,,0,,,390.0,390,390,1.9601,12.8824,0.0192,0.0112,0.0,0.0,,0.3588,15.302
agricola-sat18-strips-p04,0,False,101,2084,4116,6354,154,6251,15306,0,0,,,,2725,,,576.0,754,576,1.9812,8.8618,0.0204,0.0113,0.0,0.0,,127.1034,138.0527
agricola-sat18-strips-p05,0,False,104,2292,4556,7010,162,6854,16910,0,0,,,,7024,,,580.0,758,580,2.2205,14.7075,0.0298,0.0132,0.0,0.0,,226.9532,244.0071
agricola-sat18-strips-p06,0,False,107,2463,4953,7586,170,7376,18412,0,0,,,,0,,,402.0,402,402,2.604,10.0492,0.0268,0.0655,0.0,0.0,,0.4886,13.3445
agricola-sat18-strips-p07,0,False,110,2654,5330,8162,178,7899,19766,0,0,,,,73,,,586.0,586,586,2.6919,16.4781,0.0404,0.013,0.0,0.0,,21.1218,40.438
agricola-sat18-strips-p08,0,False,114,2853,5747,8786,186,8482,21336,0,0,,,,35,,,590.0,590,590,3.4792,17.5311,0.0372,0.0163,0.0,0.0,,13.9603,35.1262
agricola-sat18-strips-p09,0,False,116,3332,6726,10252,194,9668,25076,0,0,,,,23,,,594.0,594,594,3.0684,13.14,0.061,0.0158,0.0,0.0,,13.3076,29.7082
agricola-sat18-strips-p10,0,False,120,3271,6635,10108,202,9740,24586,0,0,,,,15,,,598.0,598,598,3.261,15.0133,0.0508,0.0185,0.0,0.0,,11.5717,30.0353
agricola-sat18-strips-p11,0,False,55,636,1222,1963,105,2201,4279,0,0,,,,171239,,,283.0,503,283,0.2212,0.2177,0.005,0.0072,0.0,0.0,,209.2389,209.6934
agricola-sat18-strips-p12,0,False,60,725,1402,2243,116,2466,4851,0,0,,,,162816,,,287.0,507,287,0.2562,0.2622,0.0066,0.0146,0.0,0.0,,279.4474,279.9954
agricola-sat18-strips-p13,0,False,68,802,1582,2513,129,2758,5504,0,0,,,,0,,,276.0,330,276,0.298,0.3268,0.0088,0.0048,0.0,0.0,,0.87,1.519
agricola-sat18-strips-p14,0,False,73,996,1974,3110,140,3361,6958,0,0,,,,0,,,279.0,335,279,1.1385,0.679,0.0152,0.0081,0.0,0.0,,0.8076,2.6674
agricola-sat18-strips-p15,0,False,75,1090,2167,3405,148,3660,7637,0,0,,,,379,,,288.0,402,288,0.5539,0.821,0.0155,0.0206,0.0,0.0,,3.2438,4.6751
agricola-sat18-strips-p16,2,False,78,1221,2421,3798,156,4063,8540,0,0,,,,154615,,,294.0,526,297,0.6096,0.9209,0.0202,0.0076,0.0,0.0,,898.4616,900.042
agricola-sat18-strips-p17,0,False,82,1396,2800,4363,167,4672,9952,0,0,,,,73,,,415.0,591,415,0.864,1.6094,0.0247,0.015,0.0,0.0,,2.394,4.9411
agricola-sat18-strips-p18,0,False,86,1501,3023,4699,175,5025,10715,0,0,,,,992,,,420.0,595,420,0.9847,2.0897,0.0331,0.0094,0.0,0.0,,8.8081,11.9619
agricola-sat18-strips-p19,2,False,88,1604,3226,5013,183,5369,11461,0,0,,,,117446,,,426.0,689,428,1.0254,2.0904,0.0314,0.012,0.0,0.0,,896.829,900.0275
agricola-sat18-strips-p20,2,False,91,1746,3512,5449,191,5819,12441,0,0,,,,109323,,,429.0,783,433,1.1113,2.3534,0.0388,0.0089,0.0,0.0,,896.6407,900.1946
airport-p01-airport1-p1,0,True,0,3,27,62,27,91,37,0,0,,,,0,,,8.0,8,8,0.008,0.0001,0.0,0.0032,0.0,0.0,,0.0027,0.0141
airport-p02-airport1-p1,0,True,0,4,31,68,27,101,44,0,0,,,,0,,,9.0,9,9,0.0266,0.0001,0.0,0.0016,0.0,0.0,,0.002,0.0304
airport-p03-airport1-p2,0,True,0,7,57,126,51,194,87,0,0,,,,0,,,17.0,17,17,0.0076,0.0002,0.0,0.0112,0.0,0.0,,0.0027,0.0218
airport-p04-airport2-p1,0,True,0,7,65,150,65,226,96,0,0,,,,0,,,20.0,20,20,0.0101,0.0003,0.0,0.0049,0.0,0.0,,0.0029,0.0182
airport-p05-airport2-p1,0,True,1,10,71,160,66,303,167,0,0,,,,0,,,21.0,21,21,0.026,0.0004,0.0001,0.002,0.0,0.0,,0.0023,0.0308
airport-p06-airport2-p2,0,True,1,17,136,305,126,527,266,0,0,,,,0,,,41.0,41,41,0.0075,0.0008,0.0002,0.002,0.0,0.0,,0.0026,0.0132
airport-p07-airport2-p2,0,True,1,17,135,302,124,527,269,0,0,,,,0,,,41.0,41,41,0.0069,0.0008,0.0002,0.002,0.0,0.0,,0.0026,0.0126
airport-p08-airport2-p3,0,True,2,27,206,444,172,814,439,0,0,,,,0,,,62.0,62,62,0.0158,0.0015,0.0004,0.0047,0.0,0.0,,0.0035,0.026
airport-p09-airport2-p4,0,True,2,33,234,504,195,915,489,0,0,,,,0,,,71.0,71,71,0.0106,0.0021,0.0005,0.0062,0.0,0.0,,0.0037,0.0232
airport-p10-airport3-p1,0,True,0,5,59,136,59,208,90,0,0,,,,0,,,18.0,18,18,0.0054,0.0003,0.0,0.0014,0.0,0.0,,0.0021,0.0093
airport-p11-airport3-p1,0,True,1,10,73,164,68,313,173,0,0,,,,0,,,21.0,21,21,0.0614,0.0004,0.0001,0.0147,0.0,0.0,,0.0173,0.094
airport-p12-airport3-p2,0,True,1,15,132,297,124,521,266,0,0,,,,0,,,39.0,39,39,0.0087,0.0009,0.0002,0.0059,0.0,0.0,,0.0026,0.0183
airport-p13-airport3-p2,0,True,1,13,123,276,114,481,245,0,0,,,,0,,,37.0,37,37,0.0291,0.0008,0.0002,0.0021,0.0,0.0,,0.0025,0.0348
airport-p14-airport3-p3,0,True,2,25,205,443,174,818,442,0,0,,,,0,,,60.0,60,60,0.0107,0.0017,0.0004,0.0092,0.0,0.0,,0.0051,0.0272
airport-p15-airport3-p3,0,True,2,23,197,425,166,783,423,0,0,,,,0,,,58.0,58,58,0.0562,0.0017,0.0004,0.0029,0.0,0.0,,0.0034,0.0646
airport-p16-airport3-p4,0,True,3,33,270,571,216,1080,599,0,0,,,,0,,,79.0,79,79,0.0113,0.0028,0.0007,0.0044,0.0,0.0,,0.0039,0.0231
airport-p17-airport3-p5,0,True,5,41,309,648,243,1195,654,0,0,,,,0,,,88.0,88,88,0.0125,0.0037,0.0008,0.0026,0.0,0.0,,0.0035,0.0232
airport-p18-airport3-p6,0,True,6,49,376,780,287,1459,809,0,0,,,,0,,,107.0,107,107,0.0922,0.0052,0.0012,0.003,0.0,0.0,,0.004,0.1057
airport-p19-airport3-p6,0,True,4,39,315,669,256,1189,651,0,0,,,,0,,,90.0,90,90,0.0223,0.0036,0.001,0.0045,0.0,0.0,,0.0048,0.0363
airport-p20-airport3-p7,0,True,6,54,400,833,308,1566,877,0,0,,,,0,,,115.0,115,115,0.0202,0.0061,0.0014,0.0048,0.0,0.0,,0.0053,0.038
airport-p21-airport4halfMUC-p2,0,True,5,49,348,783,328,1391,734,0,0,,,,0,,,101.0,101,101,0.0247,0.0124,0.0015,0.0032,0.0,0.0,,0.0053,0.0472
airport-p22-airport4halfMUC-p3,0,True,5,53,495,1087,438,1900,986,0,0,,,,0,,,148.0,148,148,0.0333,0.0218,0.0035,0.0031,0.0,0.0,,0.0046,0.0665
airport-p23-airport4halfMUC-p4,0,True,16,73,597,1284,502,2045,1018,0,0,,,,0,,,168.0,168,168,0.0494,0.0372,0.0027,0.0037,0.0,0.0,,0.0056,0.099
airport-p24-airport4halfMUC-p4,0,True,8,75,556,1202,473,2226,1224,0,0,,,,0,,,162.0,162,162,0.2889,0.0407,0.0036,0.0036,0.0,0.0,,0.0053,0.3425
airport-p25-airport4halfMUC-p5,0,True,9,83,716,1525,585,2798,1534,0,0,,,,0,,,212.0,212,212,0.0861,0.0569,0.0062,0.0074,0.0,0.0,,0.0061,0.1631
airport-p26-airport4halfMUC-p6,0,True,19,91,771,1631,618,2749,1444,0,0,,,,0,,,220.0,220,220,0.1,0.083,0.006,0.0058,0.0,0.0,,0.0066,0.2019
airport-p27-airport4halfMUC-p6,0,True,11,125,848,1799,689,3440,1938,0,0,,,,0,,,246.0,246,246,0.1351,0.0877,0.008,0.0085,0.0,0.0,,0.0076,0.2473
airport-p28-airport4halfMUC-p7,0,True,12,131,1003,2111,797,4000,2249,0,0,,,,0,,,294.0,294,294,0.3725,0.1104,0.0129,0.0079,0.0,0.0,,0.0079,0.5123
airport-p29-airport4halfMUC-p8,0,True,23,145,1082,2260,842,4044,2222,0,0,,,,0,,,308.0,308,308,0.1783,0.1519,0.015,0.0067,0.0,0.0,,0.008,0.3605
airport-p30-airport4halfMUC-p8,0,True,14,155,1065,2230,834,4313,2457,0,0,,,,0,,,310.0,310,310,0.2003,0.1591,0.013,0.0073,0.0,0.0,,0.0081,0.3885
airport-p31-airport4halfMUC-p9,0,True,14,161,1215,2537,943,4869,2766,0,0,,,,0,,,358.0,358,358,0.2346,0.1836,0.0196,0.0107,0.0,0.0,,0.0097,0.4587
airport-p32-airport4halfMUC-p10,0,True,27,193,1375,2840,1041,5253,2957,0,0,,,,0,,,390.0,390,390,0.2716,0.2457,0.0253,0.0106,0.0,0.0,,0.011,0.5649
airport-p33-airport4halfMUC-p10,0,True,16,179,1337,2780,1026,5366,3067,0,0,,,,0,,,393.0,393,393,0.3063,0.2267,0.0236,0.0132,0.0,0.0,,0.0111,0.5817
airport-p34-airport4halfMUC-p11,0,True,28,213,1498,3086,1125,5759,3259,0,0,,,,0,,,427.0,427,427,0.3574,0.3051,0.0336,0.0159,0.0,0.0,,0.0113,0.7241
airport-p35-airport4halfMUC-p12,0,True,43,258,1589,3248,1175,6017,3420,0,0,,,,0,,,433.0,433,433,0.3752,0.3801,0.0358,0.0137,0.0,0.0,,0.013,0.8186
airport-p36-airport5MUC-p2,0,True,328,635,967,2243,570,3286,2118,0,0,,,,74986,,,109.0,109,109,0.0352,0.0355,0.0069,0.0063,0.0,0.0,,14.5298,14.614
airport-p37-airport5MUC-p3,0,True,566,1030,1400,3294,800,5136,3721,0,0,,,,1493683,,,141.0,141,141,0.0695,0.089,0.0168,0.0165,0.0,0.0,,442.6232,442.8153
airport-p38-airport5MUC-p3,0,True,521,980,1477,3373,827,5165,3494,0,0,,,,194137,,,154.0,154,154,0.0585,0.0807,0.0186,0.0105,0.0,0.0,,73.4783,73.647
airport-p39-airport5MUC-p4,2,True,746,1362,1878,4391,1055,6879,4998,0,0,,,,1576830,,,191.001,208,208,0.1123,0.1546,0.0406,0.0153,0.0,0.0,,900.0119,900.3352
airport-p40-airport5MUC-p4,0,True,714,1325,1994,4506,1078,7035,4864,0,0,,,,88498,,,190.0,190,190,0.0965,0.1483,0.0369,0.0121,0.0,0.0,,51.0283,51.3225
airport-p41-airport5MUC-p4,0,True,680,1292,1952,4387,1040,6588,4344,0,0,,,,359451,,,178.0,178,178,0.0857,0.127,0.0285,0.0172,0.0,0.0,,168.4547,168.7135
airport-p42-airport5MUC-p5,2,True,894,1657,2512,5643,1333,8927,6253,0,0,,,,1276250,,,250.5,257,257,0.1884,0.2194,0.07,0.0249,0.0,0.0,,899.6379,900.1413
airport-p43-airport5MUC-p5,2,True,873,1639,2480,5528,1287,8499,5755,0,0,,,,1484651,,,217.002,223,223,0.1319,0.201,0.0537,0.0208,0.0,0.0,,899.7342,900.1421
airport-p44-airport5MUC-p5,0,True,828,1589,2488,5536,1308,8237,5305,0,0,,,,40839,,,227.0,227,227,0.1291,0.186,0.042,0.0192,0.0,0.0,,25.4531,25.8298
airport-p45-airport5MUC-p6,0,True,987,1901,2917,6484,1503,9515,6085,0,0,,,,230410,,,249.0,249,249,0.1473,0.2439,0.0545,0.0202,0.0,0.0,,168.8488,169.3153
airport-p46-airport5MUC-p6,2,True,1053,1971,3012,6679,1542,10442,7184,0,0,,,,992306,,,256.669,290,290,0.176,0.2966,0.0969,0.0225,0.0,0.0,,899.6515,900.2443
airport-p47-airport5MUC-p8,2,True,1360,2580,4001,8800,2005,13463,9017,0,0,,,,765233,,,353.0,355,355,0.2687,0.4636,0.144,0.0346,0.0,0.0,,899.103,900.0147
airport-p48-airport5MUC-p9,2,True,1619,2987,4624,10126,2289,16279,11493,0,0,,,,667180,,,384.0,423,423,0.3813,0.6702,0.2549,0.0527,0.0,0.0,,898.7621,900.1221
airport-p49-airport5MUC-p10,2,True,1733,3255,5107,11140,2511,17501,12021,0,0,,,,633279,,,418.5,451,451,0.4211,0.7661,0.2882,0.0516,0.0,0.0,,898.6345,900.1627
airport-p50-airport5MUC-p15,2,True,2685,4967,7878,16957,3736,27535,19579,0,0,,,,460118,,,585.501,685,685,0.9939,1.8706,0.8954,0.1062,0.0,0.0,,896.2656,900.1334
assembly-prob01,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob02,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob03,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob04,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob05,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob06,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob07,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob08,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob09,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob10,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob11,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob12,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob13,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob14,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob15,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob16,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob17,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob18,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob19,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob20,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob21,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob22,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob23,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob24,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob25,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob26,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob27,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob28,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob29,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
assembly-prob30,-3,False,0,0,0,0,0,0,0,0,0,,,,0,,,0.0,1e+20,1e+20,0,0,0,0,0,0,,0,0
barman-mco14-strips-p1-11-5-15,0,True,105,676,2054,2899,169,3952,4990,0,0,,,,0,,,36.0,36,36,0.0298,0.0145,0.0023,0.0068,0.0,0.0,,0.2313,0.2847
barman-mco14-strips-p1-11-5-16,0,True,115,726,2210,3118,182,4256,5396,0,0,,,,0,,,38.0,38,38,0.0399,0.0162,0.0029,0.0102,0.0,0.0,,0.2601,0.3295
barman-mco14-strips-p1-8-4-10,0,True,62,374,1112,1593,107,2207,2720,0,0,,,,0,,,26.0,26,26,0.0383,0.0051,0.0008,0.0067,0.0,0.0,,0.0922,0.1432
barman-mco14-strips-p2-10-4-13,0,True,80,486,1456,2078,136,2881,3568,0,0,,,,0,,,31.0,31,31,0.0275,0.0092,0.0013,0.0068,0.0,0.0,,0.1307,0.1756
barman-mco14-strips-p2-11-4-15,0,True,92,560,1684,2399,155,3327,4128,0,0,,,,0,,,34.0,34,34,0.0508,0.0122,0.0018,0.0306,0.0,0.0,,0.4509,0.5465
barman-mco14-strips-p2-11-5-15,0,True,108,682,2072,2926,172,3994,5062,0,0,,,,0,,,37.0,37,37,0.0531,0.0144,0.0024,0.0091,0.0,0.0,,0.2485,0.3277
barman-mco14-strips-p2-11-5-16,0,True,114,724,2204,3109,181,4242,5372,0,0,,,,0,,,37.0,37,37,0.1006,0.0163,0.0028,0.006,0.0,0.0,,0.2062,0.3322
barman-mco14-strips-p2-11-5-17,0,True,119,764,2330,3283,189,4476,5658,0,0,,,,0,,,38.0,38,38,0.0336,0.018,0.0029,0.007,0.0,0.0,,0.2182,0.2799
barman-mco14-strips-p3-10-4-13,0,True,80,486,1456,2078,136,2881,3568,0,0,,,,0,,,31.0,31,31,0.0218,0.0087,0.0015,0.0055,0.0,0.0,,0.13,0.1677
barman-mco14-strips-p3-11-4-15,0,True,92,560,1684,2399,155,3327,4128,0,0,,,,0,,,34.0,34,34,0.0255,0.0123,0.0019,0.0048,0.0,0.0,,0.159,0.2037
barman-mco14-strips-p3-11-5-15,0,True,105,676,2054,2899,169,3952,4990,0,0,,,,0,,,36.0,36,36,0.032,0.0144,0.0025,0.0093,0.0,0.0,,0.192,0.2502
barman-mco14-strips-p3-11-5-16,0,True,115,726,2210,3118,182,4256,5396,0,0,,,,0,,,38.0,38,38,0.0318,0.0163,0.0029,0.0084,0.0,0.0,,0.2555,0.3151
barman-mco14-strips-p3-11-5-17,0,True,121,768,2342,3301,191,4504,5706,0,0,,,,0,,,38.0,38,38,0.0645,0.0179,0.0029,0.0082,0.0,0.0,,0.2198,0.3136
barman-mco14-strips-p4-11-4-14,0,True,86,524,1572,2242,146,3109,3856,0,0,,,,0,,,33.0,33,33,0.0254,0.0106,0.0018,0.0074,0.0,0.0,,0.1423,0.1876
barman-mco14-strips-p4-11-4-15,0,True,91,558,1678,2390,154,3313,4104,0,0,,,,0,,,34.0,34,34,0.026,0.0123,0.0018,0.0046,0.0,0.0,,0.154,0.1988
barman-mco14-strips-p4-11-5-15,0,True,107,680,2066,2917,171,3980,5038,0,0,,,,0,,,36.0,36,36,0.0362,0.0144,0.0026,0.0091,0.0,0.0,,0.2098,0.2723
barman-mco14-strips-p5-10-4-13,0,True,80,486,1456,2078,136,2881,3568,0,0,,,,0,,,31.0,31,31,0.0206,0.0089,0.0015,0.0044,0.0,0.0,,0.1255,0.1611
barman-mco14-strips-p5-11-4-15,0,True,91,558,1678,2390,154,3313,4104,0,0,,,,0,,,34.0,34,34,0.0295,0.0122,0.002,0.0067,0.0,0.0,,0.1536,0.2042
barman-mco14-strips-p5-11-5-15,0,True,106,678,2060,2908,170,3966,5014,0,0,,,,0,,,36.0,36,36,0.0291,0.0145,0.0023,0.0097,0.0,0.0,,0.2166,0.2723
barman-mco14-strips-p5-11-5-16,0,True,114,724,2204,3109,181,4242,5372,0,0,,,,0,,,37.0,37,37,0.0485,0.016,0.0026,0.009,0.0,0.0,,0.2186,0.2949
barman-opt11-strips-pfile01-001,0,False,23,118,330,492,44,694,804,0,0,,,,1228,,,41.0,41,41,0.0102,0.0008,0.0002,0.0029,0.0,0.0,,0.2393,0.2534
barman-opt11-strips-pfile01-002,0,False,23,118,330,492,44,694,804,0,0,,,,0,,,41.0,41,41,0.0103,0.0008,0.0002,0.0046,0.0,0.0,,0.0712,0.0872
barman-opt11-strips-pfile01-003,0,False,23,118,330,492,44,694,804,0,0,,,,6972,,,41.0,41,41,0.0437,0.0008,0.0002,0.0085,0.0,0.0,,0.7789,0.8321
barman-opt11-strips-pfile01-004,0,False,23,118,330,492,44,694,804,0,0,,,,0,,,41.0,41,41,0.0135,0.0008,0.0002,0.005,0.0,0.0,,0.0767,0.0962
barman-opt11-strips-pfile02-005,0,False,28,148,420,621,53,878,1030,0,0,,,,0,,,43.0,43,43,0.0129,0.0012,0.0002,0.0047,0.0,0.0,,0.0994,0.1185
barman-opt11-strips-pfile02-006,0,False,28,148,420,621,53,878,1030,0,0,,,,0,,,43.0,43,43,0.009,0.0011,0.0003,0.0021,0.0,0.0,,0.0885,0.101
barman-opt11-strips-pfile02-007,0,False,28,148,420,621,53,878,1030,0,0,,,,1712,,,43.0,43,43,0.0289,0.0011,0.0002,0.0046,0.0,0.0,,0.3664,0.4014
barman-opt11-strips-pfile02-008,0,False,28,148,420,621,53,878,1030,0,0,,,,0,,,43.0,43,43,0.0092,0.0011,0.0002,0.0025,0.0,0.0,,0.1098,0.1229
barman-opt11-strips-pfile03-009,0,False,33,178,510,750,62,1062,1256,0,0,,,,0,,,45.0,45,45,0.0109,0.0016,0.0004,0.0035,0.0,0.0,,0.152,0.1685
barman-opt11-strips-pfile03-010,0,False,33,178,510,750,62,1062,1256,0,0,,,,4938,,,45.0,45,45,0.0455,0.0016,0.0004,0.0025,0.0,0.0,,0.9242,0.9742
barman-opt11-strips-pfile03-011,0,False,33,178,510,750,62,1062,1256,0,0,,,,3839,,,45.0,45,45,0.0088,0.0016,0.0004,0.0036,0.0,0.0,,0.8298,0.8442
barman-opt11-strips-pfile03-012,0,False,33,178,510,750,62,1062,1256,0,0,,,,0,,,45.0,45,45,0.0354,0.0016,0.0003,0.0041,0.0,0.0,,0.1314,0.1729
barman-opt11-strips-pfile04-013,0,False,42,234,680,992,78,1406,1668,0,0,,,,0,,,47.0,47,47,0.0155,0.0025,0.0006,0.0034,0.0,0.0,,0.2018,0.2237
